county_name,Male16 - 19 years In labor force,Male16 - 19 years In labor force Unemployed,Male16 - 19 years In labor force employed,Male20 - 21 years In labor force,Male20 - 21 years In labor force Unemployed,Male20 - 21 years In labor force employed,Male22 - 24 years In labor force,Male22 - 24 years In labor force Unemployed,Male22 - 24 years In labor force employed,Male25 - 29 years In labor force,Male25 - 29 years In labor force Unemployed,Male25 - 29 years In labor force employed,Male30 - 34 years In labor force,Male30 - 34 years In labor force Unemployed,Male30 - 34 years In labor force employed,Male35 - 44 years In labor force,Male35 - 44 years In labor force Unemployed,Male35 - 44 years In labor force employed,Male45 - 54 years In labor force,Male45 - 54 years In labor force Unemployed,Male45 - 54 years In labor force employed,Male55 - 59 years In labor force,Male55 - 59 years In labor force Unemployed,Male55 - 59 years In labor force employed,Male60 - 61 years In labor force,Male60 - 61 years In labor force Unemployed,Male60 - 61 years In labor force employed,Male62 - 64 years In labor force,Male62 - 64 years In labor force Unemployed,Male62 - 64 years In labor force employed,Male65 - 69 years In labor force,Male65 - 69 years In labor force Unemployed,Male65 - 69 years In labor force employed,Male70 - 74 years In labor force,Male70 - 74 years In labor force Unemployed,Male70 - 74 years In labor force employed,Male75 years - over In labor force,Male75 years - over In labor force Unemployed,Male75 years - over In labor force employed,Female16 - 19 years In labor force,Female16 - 19 years In labor force Unemployed,Female16 - 19 years In labor force employed,Female20 - 21 years In labor force,Female20 - 21 years In labor force Unemployed,Female20 - 21 years In labor force employed,Female22 - 24 years In labor force,Female22 - 24 years In labor force Unemployed,Female22 - 24 years In labor force employed,Female25 - 29 years In labor force,Female25 - 29 years In labor force Unemployed,Female25 - 29 years In labor force employed,Female30 - 34 years In labor force,Female30 - 34 years In labor force Unemployed,Female30 - 34 years In labor force employed,Female35 - 44 years In labor force,Female35 - 44 years In labor force Unemployed,Female35 - 44 years In labor force employed,Female45 - 54 years In labor force,Female45 - 54 years In labor force Unemployed,Female45 - 54 years In labor force employed,Female55 - 59 years In labor force,Female55 - 59 years In labor force Unemployed,Female55 - 59 years In labor force employed,Female60 - 61 years In labor force,Female60 - 61 years In labor force Unemployed,Female60 - 61 years In labor force employed,Female62 - 64 years In labor force,Female62 - 64 years In labor force Unemployed,Female62 - 64 years In labor force employed,Female65 - 69 years In labor force,Female65 - 69 years In labor force Unemployed,Female65 - 69 years In labor force employed,Female70 - 74 years In labor force,Female70 - 74 years In labor force Unemployed,Female70 - 74 years In labor force employed,Female75 years - over In labor force,Female75 years - over In labor force Unemployed,Female75 years - over In labor force employed
Connecticut - Fairfield,10735.00,3089.00,7646.00,7763.00,1500.00,6263.00,14820.00,2393.00,12427.00,24249.00,2192.00,22057.00,25688.00,1987.00,23701.00,56256.00,3134.00,53122.00,65669.00,3988.00,61681.00,28261.00,1967.00,26294.00,9461.00,636.00,8825.00,10249.00,523.00,9726.00,10092.00,521.00,9571.00,4264.00,392.00,3872.00,3201.00,258.00,2943.00,10720.00,2312.00,8408.00,7537.00,970.00,6567.00,13861.00,1406.00,12455.00,21359.00,2104.00,19255.00,22836.00,1934.00,20902.00,46409.00,3283.00,43126.00,58579.00,4051.00,54528.00,25864.00,1477.00,24387.00,9015.00,575.00,8440.00,9170.00,468.00,8702.00,8893.00,486.00,8407.00,3358.00,173.00,3185.00,2428.00,102.00,2326.00
Connecticut - Hartford,10076.00,2882.00,7194.00,7500.00,1504.00,5996.00,15025.00,2420.00,12605.00,25979.00,2692.00,23287.00,25693.00,1978.00,23715.00,48053.00,3345.00,44708.00,55532.00,3832.00,51700.00,25711.00,1289.00,24422.00,8018.00,496.00,7522.00,9822.00,760.00,9062.00,8854.00,549.00,8305.00,3592.00,200.00,3392.00,2684.00,179.00,2505.00,10307.00,2706.00,7601.00,7497.00,1136.00,6361.00,13940.00,1010.00,12930.00,24578.00,1645.00,22933.00,23763.00,1598.00,22165.00,46554.00,3554.00,43000.00,55008.00,3237.00,51771.00,25128.00,1322.00,23806.00,8132.00,294.00,7838.00,8940.00,408.00,8532.00,7833.00,432.00,7401.00,2855.00,174.00,2681.00,1657.00,91.00,1566.00
Connecticut - Litchfield,2150.00,402.00,1748.00,1462.00,205.00,1257.00,2819.00,473.00,2346.00,4186.00,488.00,3698.00,4281.00,301.00,3980.00,9738.00,502.00,9236.00,13952.00,637.00,13315.00,6969.00,340.00,6629.00,2440.00,136.00,2304.00,2541.00,184.00,2357.00,2382.00,110.00,2272.00,1140.00,130.00,1010.00,610.00,3.00,607.00,2208.00,392.00,1816.00,1317.00,144.00,1173.00,2640.00,252.00,2388.00,3791.00,240.00,3551.00,3808.00,266.00,3542.00,8960.00,567.00,8393.00,13009.00,607.00,12402.00,6783.00,338.00,6445.00,2234.00,102.00,2132.00,2379.00,76.00,2303.00,2255.00,135.00,2120.00,895.00,17.00,878.00,562.00,8.00,554.00
Connecticut - Middlesex,1718.00,210.00,1508.00,1338.00,101.00,1237.00,2554.00,217.00,2337.00,4140.00,150.00,3990.00,3966.00,231.00,3735.00,9098.00,343.00,8755.00,12157.00,490.00,11667.00,6117.00,315.00,5802.00,2006.00,52.00,1954.00,2313.00,126.00,2187.00,2024.00,132.00,1892.00,730.00,32.00,698.00,517.00,12.00,505.00,2229.00,288.00,1941.00,1534.00,78.00,1456.00,1978.00,108.00,1870.00,3569.00,218.00,3351.00,3907.00,360.00,3547.00,8419.00,473.00,7946.00,11376.00,488.00,10888.00,5590.00,250.00,5340.00,1653.00,79.00,1574.00,1731.00,34.00,1697.00,1733.00,87.00,1646.00,712.00,36.00,676.00,452.00,0.00,452.00
Connecticut - New Haven,8438.00,2183.00,6255.00,8098.00,1414.00,6684.00,13937.00,2124.00,11813.00,24138.00,2668.00,21470.00,23642.00,2354.00,21288.00,45112.00,3480.00,41632.00,52888.00,3764.00,49124.00,24014.00,1731.00,22283.00,8281.00,550.00,7731.00,9638.00,538.00,9100.00,8350.00,359.00,7991.00,3456.00,239.00,3217.00,2577.00,60.00,2517.00,10064.00,2158.00,7906.00,9056.00,1184.00,7872.00,13510.00,1354.00,12156.00,23677.00,1706.00,21971.00,22347.00,2103.00,20244.00,43430.00,3181.00,40249.00,52231.00,3430.00,48801.00,23575.00,1180.00,22395.00,7972.00,367.00,7605.00,9571.00,526.00,9045.00,8448.00,508.00,7940.00,3167.00,143.00,3024.00,1893.00,87.00,1806.00
Connecticut - New London,3780.00,553.00,3227.00,4183.00,615.00,3568.00,6009.00,477.00,5532.00,8999.00,555.00,8444.00,7355.00,604.00,6751.00,13945.00,861.00,13084.00,17688.00,1089.00,16599.00,8475.00,578.00,7897.00,2815.00,129.00,2686.00,3294.00,195.00,3099.00,3168.00,128.00,3040.00,1350.00,25.00,1325.00,681.00,24.00,657.00,3363.00,486.00,2877.00,2753.00,379.00,2374.00,4084.00,409.00,3675.00,6865.00,887.00,5978.00,6229.00,520.00,5709.00,13003.00,666.00,12337.00,17203.00,1009.00,16194.00,7678.00,486.00,7192.00,2535.00,193.00,2342.00,2867.00,179.00,2688.00,2607.00,88.00,2519.00,946.00,30.00,916.00,632.00,56.00,576.00
Connecticut - Tolland,2860.00,555.00,2305.00,3769.00,281.00,3488.00,3076.00,263.00,2813.00,3502.00,255.00,3247.00,3576.00,234.00,3342.00,7404.00,250.00,7154.00,9846.00,463.00,9383.00,4743.00,277.00,4466.00,1748.00,71.00,1677.00,1513.00,46.00,1467.00,1438.00,72.00,1366.00,592.00,13.00,579.00,450.00,45.00,405.00,3733.00,560.00,3173.00,3997.00,283.00,3714.00,2761.00,188.00,2573.00,2881.00,159.00,2722.00,2886.00,133.00,2753.00,6795.00,286.00,6509.00,9551.00,449.00,9102.00,4032.00,236.00,3796.00,1658.00,92.00,1566.00,1549.00,71.00,1478.00,1104.00,73.00,1031.00,359.00,26.00,333.00,174.00,0.00,174.00
Connecticut - Windham,1657.00,370.00,1287.00,1673.00,249.00,1424.00,1879.00,257.00,1622.00,3156.00,373.00,2783.00,3230.00,242.00,2988.00,6464.00,672.00,5792.00,7656.00,529.00,7127.00,3789.00,225.00,3564.00,1081.00,57.00,1024.00,1113.00,33.00,1080.00,1038.00,61.00,977.00,362.00,20.00,342.00,273.00,36.00,237.00,1684.00,353.00,1331.00,1645.00,122.00,1523.00,1647.00,108.00,1539.00,2943.00,287.00,2656.00,3054.00,272.00,2782.00,6220.00,446.00,5774.00,7295.00,365.00,6930.00,3261.00,111.00,3150.00,1310.00,80.00,1230.00,928.00,88.00,840.00,750.00,17.00,733.00,270.00,20.00,250.00,128.00,0.00,128.00
Maine - Androscoggin,1237.00,348.00,889.00,1068.00,94.00,974.00,1742.00,164.00,1578.00,2794.00,154.00,2640.00,2849.00,192.00,2657.00,5615.00,302.00,5313.00,6748.00,351.00,6397.00,3368.00,168.00,3200.00,945.00,12.00,933.00,990.00,38.00,952.00,1020.00,82.00,938.00,486.00,37.00,449.00,345.00,25.00,320.00,1374.00,192.00,1182.00,1004.00,84.00,920.00,1537.00,91.00,1446.00,2682.00,216.00,2466.00,2819.00,168.00,2651.00,5700.00,219.00,5481.00,6510.00,210.00,6300.00,2911.00,19.00,2892.00,1031.00,67.00,964.00,1072.00,16.00,1056.00,841.00,35.00,806.00,192.00,26.00,166.00,104.00,0.00,104.00
Maine - Aroostook,802.00,110.00,692.00,739.00,84.00,655.00,861.00,33.00,828.00,1447.00,156.00,1291.00,1384.00,96.00,1288.00,3030.00,233.00,2797.00,4204.00,309.00,3895.00,2187.00,128.00,2059.00,676.00,18.00,658.00,749.00,21.00,728.00,757.00,31.00,726.00,269.00,15.00,254.00,172.00,12.00,160.00,847.00,147.00,700.00,661.00,30.00,631.00,732.00,50.00,682.00,1137.00,75.00,1062.00,1265.00,81.00,1184.00,3015.00,84.00,2931.00,3576.00,124.00,3452.00,1982.00,106.00,1876.00,648.00,35.00,613.00,658.00,18.00,640.00,539.00,15.00,524.00,227.00,21.00,206.00,149.00,2.00,147.00
Maine - Cumberland,3500.00,460.00,3040.00,2802.00,341.00,2461.00,4784.00,320.00,4464.00,8343.00,406.00,7937.00,8123.00,305.00,7818.00,15951.00,559.00,15392.00,18676.00,780.00,17896.00,9045.00,395.00,8650.00,2787.00,155.00,2632.00,3397.00,178.00,3219.00,3317.00,145.00,3172.00,1194.00,22.00,1172.00,848.00,28.00,820.00,3760.00,466.00,3294.00,2746.00,211.00,2535.00,4748.00,406.00,4342.00,8182.00,464.00,7718.00,7295.00,213.00,7082.00,15158.00,566.00,14592.00,18551.00,507.00,18044.00,8763.00,217.00,8546.00,3004.00,59.00,2945.00,3422.00,148.00,3274.00,3005.00,34.00,2971.00,1047.00,54.00,993.00,424.00,8.00,416.00
Maine - Franklin,435.00,51.00,384.00,394.00,149.00,245.00,428.00,46.00,382.00,811.00,61.00,750.00,629.00,73.00,556.00,1276.00,108.00,1168.00,1863.00,50.00,1813.00,939.00,56.00,883.00,286.00,5.00,281.00,347.00,10.00,337.00,294.00,9.00,285.00,157.00,2.00,155.00,27.00,0.00,27.00,450.00,37.00,413.00,550.00,46.00,504.00,350.00,51.00,299.00,747.00,90.00,657.00,665.00,24.00,641.00,1183.00,79.00,1104.00,1674.00,82.00,1592.00,907.00,8.00,899.00,323.00,16.00,307.00,253.00,6.00,247.00,240.00,5.00,235.00,141.00,0.00,141.00,54.00,0.00,54.00
Maine - Hancock,422.00,36.00,386.00,361.00,51.00,310.00,618.00,120.00,498.00,1161.00,77.00,1084.00,1248.00,125.00,1123.00,2691.00,203.00,2488.00,3226.00,137.00,3089.00,1892.00,102.00,1790.00,635.00,80.00,555.00,678.00,53.00,625.00,926.00,32.00,894.00,205.00,10.00,195.00,172.00,9.00,163.00,600.00,81.00,519.00,372.00,23.00,349.00,675.00,86.00,589.00,1214.00,87.00,1127.00,1017.00,92.00,925.00,2620.00,120.00,2500.00,3453.00,98.00,3355.00,1775.00,90.00,1685.00,751.00,47.00,704.00,700.00,36.00,664.00,651.00,12.00,639.00,183.00,9.00,174.00,120.00,4.00,116.00
Maine - Kennebec,1125.00,282.00,843.00,1244.00,228.00,1016.00,1744.00,220.00,1524.00,2886.00,232.00,2654.00,2678.00,176.00,2502.00,5722.00,459.00,5263.00,7363.00,488.00,6875.00,3750.00,142.00,3608.00,1272.00,93.00,1179.00,1218.00,44.00,1174.00,1111.00,68.00,1043.00,333.00,6.00,327.00,254.00,8.00,246.00,1427.00,165.00,1262.00,1321.00,152.00,1169.00,1605.00,173.00,1432.00,2657.00,289.00,2368.00,2433.00,175.00,2258.00,6056.00,315.00,5741.00,7248.00,320.00,6928.00,3502.00,87.00,3415.00,1232.00,32.00,1200.00,1294.00,22.00,1272.00,1038.00,6.00,1032.00,512.00,78.00,434.00,209.00,0.00,209.00
Maine - Knox,412.00,112.00,300.00,356.00,38.00,318.00,508.00,67.00,441.00,786.00,161.00,625.00,787.00,105.00,682.00,1939.00,52.00,1887.00,2311.00,78.00,2233.00,1153.00,40.00,1113.00,314.00,12.00,302.00,611.00,34.00,577.00,794.00,9.00,785.00,266.00,0.00,266.00,200.00,46.00,154.00,397.00,21.00,376.00,212.00,16.00,196.00,462.00,0.00,462.00,647.00,8.00,639.00,837.00,25.00,812.00,1783.00,86.00,1697.00,2198.00,126.00,2072.00,1557.00,55.00,1502.00,508.00,25.00,483.00,475.00,6.00,469.00,671.00,14.00,657.00,278.00,3.00,275.00,95.00,11.00,84.00
Maine - Lincoln,435.00,20.00,415.00,235.00,29.00,206.00,540.00,10.00,530.00,680.00,45.00,635.00,675.00,30.00,645.00,1529.00,33.00,1496.00,2094.00,83.00,2011.00,989.00,49.00,940.00,267.00,12.00,255.00,514.00,19.00,495.00,473.00,15.00,458.00,255.00,4.00,251.00,148.00,5.00,143.00,301.00,15.00,286.00,195.00,3.00,192.00,409.00,14.00,395.00,597.00,33.00,564.00,612.00,30.00,582.00,1499.00,46.00,1453.00,1966.00,71.00,1895.00,980.00,30.00,950.00,318.00,0.00,318.00,744.00,0.00,744.00,486.00,15.00,471.00,209.00,0.00,209.00,138.00,4.00,134.00
Maine - Oxford,526.00,170.00,356.00,343.00,77.00,266.00,764.00,87.00,677.00,1207.00,104.00,1103.00,1218.00,116.00,1102.00,2529.00,168.00,2361.00,3436.00,201.00,3235.00,1918.00,86.00,1832.00,603.00,60.00,543.00,734.00,10.00,724.00,522.00,7.00,515.00,253.00,9.00,244.00,181.00,3.00,178.00,615.00,151.00,464.00,484.00,50.00,434.00,598.00,70.00,528.00,846.00,165.00,681.00,1175.00,43.00,1132.00,2352.00,175.00,2177.00,3160.00,169.00,2991.00,1877.00,59.00,1818.00,549.00,0.00,549.00,506.00,0.00,506.00,420.00,10.00,410.00,122.00,0.00,122.00,94.00,0.00,94.00
Maine - Penobscot,2022.00,565.00,1457.00,1968.00,327.00,1641.00,2959.00,364.00,2595.00,4636.00,575.00,4061.00,3914.00,177.00,3737.00,7311.00,418.00,6893.00,8693.00,385.00,8308.00,4147.00,252.00,3895.00,1350.00,35.00,1315.00,1543.00,86.00,1457.00,1156.00,89.00,1067.00,594.00,16.00,578.00,327.00,0.00,327.00,2057.00,424.00,1633.00,2348.00,172.00,2176.00,2132.00,225.00,1907.00,4050.00,353.00,3697.00,3437.00,266.00,3171.00,6781.00,377.00,6404.00,8454.00,275.00,8179.00,4044.00,195.00,3849.00,1169.00,19.00,1150.00,1467.00,48.00,1419.00,1245.00,13.00,1232.00,518.00,51.00,467.00,180.00,12.00,168.00
Maine - Piscataquis,116.00,21.00,95.00,88.00,34.00,54.00,198.00,43.00,155.00,269.00,66.00,203.00,271.00,16.00,255.00,655.00,83.00,572.00,858.00,87.00,771.00,602.00,42.00,560.00,187.00,8.00,179.00,212.00,21.00,191.00,234.00,6.00,228.00,135.00,6.00,129.00,15.00,3.00,12.00,113.00,41.00,72.00,54.00,31.00,23.00,114.00,24.00,90.00,232.00,8.00,224.00,277.00,57.00,220.00,746.00,59.00,687.00,868.00,36.00,832.00,457.00,23.00,434.00,282.00,25.00,257.00,150.00,3.00,147.00,181.00,0.00,181.00,64.00,0.00,64.00,26.00,0.00,26.00
Maine - Sagadahoc,365.00,88.00,277.00,311.00,41.00,270.00,489.00,66.00,423.00,977.00,7.00,970.00,852.00,50.00,802.00,1709.00,107.00,1602.00,2289.00,23.00,2266.00,1275.00,39.00,1236.00,378.00,27.00,351.00,368.00,18.00,350.00,419.00,24.00,395.00,291.00,14.00,277.00,139.00,0.00,139.00,362.00,16.00,346.00,274.00,0.00,274.00,515.00,65.00,450.00,703.00,44.00,659.00,753.00,50.00,703.00,1784.00,12.00,1772.00,2344.00,227.00,2117.00,1208.00,30.00,1178.00,387.00,4.00,383.00,386.00,2.00,384.00,255.00,8.00,247.00,162.00,4.00,158.00,92.00,0.00,92.00
Maine - Somerset,598.00,162.00,436.00,426.00,104.00,322.00,727.00,180.00,547.00,1163.00,152.00,1011.00,1007.00,163.00,844.00,2525.00,208.00,2317.00,2950.00,217.00,2733.00,1361.00,88.00,1273.00,622.00,49.00,573.00,524.00,36.00,488.00,612.00,13.00,599.00,203.00,35.00,168.00,90.00,29.00,61.00,575.00,128.00,447.00,409.00,20.00,389.00,577.00,73.00,504.00,979.00,80.00,899.00,997.00,75.00,922.00,2181.00,125.00,2056.00,3054.00,235.00,2819.00,1575.00,73.00,1502.00,400.00,0.00,400.00,439.00,0.00,439.00,305.00,5.00,300.00,221.00,6.00,215.00,49.00,0.00,49.00
Maine - Waldo,483.00,91.00,392.00,392.00,133.00,259.00,420.00,118.00,302.00,776.00,106.00,670.00,905.00,39.00,866.00,2008.00,94.00,1914.00,2278.00,100.00,2178.00,1207.00,108.00,1099.00,471.00,20.00,451.00,506.00,30.00,476.00,461.00,9.00,452.00,141.00,2.00,139.00,182.00,62.00,120.00,491.00,97.00,394.00,314.00,9.00,305.00,341.00,25.00,316.00,793.00,62.00,731.00,884.00,54.00,830.00,1794.00,113.00,1681.00,2218.00,56.00,2162.00,1346.00,56.00,1290.00,460.00,24.00,436.00,395.00,3.00,392.00,395.00,9.00,386.00,106.00,12.00,94.00,134.00,0.00,134.00
Maine - Washington,371.00,90.00,281.00,293.00,60.00,233.00,351.00,23.00,328.00,618.00,52.00,566.00,588.00,77.00,511.00,1296.00,109.00,1187.00,1792.00,137.00,1655.00,888.00,42.00,846.00,256.00,21.00,235.00,405.00,33.00,372.00,384.00,41.00,343.00,149.00,6.00,143.00,111.00,0.00,111.00,255.00,62.00,193.00,234.00,30.00,204.00,341.00,83.00,258.00,521.00,67.00,454.00,590.00,35.00,555.00,1202.00,59.00,1143.00,1666.00,125.00,1541.00,775.00,22.00,753.00,241.00,8.00,233.00,312.00,13.00,299.00,313.00,5.00,308.00,162.00,16.00,146.00,76.00,6.00,70.00
Maine - York,2325.00,448.00,1877.00,1700.00,378.00,1322.00,2844.00,321.00,2523.00,5259.00,372.00,4887.00,5247.00,220.00,5027.00,10574.00,508.00,10066.00,13764.00,448.00,13316.00,6834.00,232.00,6602.00,2051.00,70.00,1981.00,2226.00,94.00,2132.00,2633.00,108.00,2525.00,926.00,14.00,912.00,580.00,0.00,580.00,2881.00,427.00,2454.00,1549.00,74.00,1475.00,2926.00,131.00,2795.00,4687.00,307.00,4380.00,4689.00,156.00,4533.00,9449.00,404.00,9045.00,12824.00,368.00,12456.00,6095.00,242.00,5853.00,1925.00,33.00,1892.00,2751.00,94.00,2657.00,2147.00,106.00,2041.00,592.00,25.00,567.00,428.00,12.00,416.00
Massachusetts - Barnstable,2363.00,263.00,2100.00,1641.00,443.00,1198.00,3191.00,463.00,2728.00,4018.00,371.00,3647.00,3905.00,282.00,3623.00,9124.00,526.00,8598.00,12884.00,693.00,12191.00,6939.00,438.00,6501.00,2484.00,132.00,2352.00,3537.00,104.00,3433.00,3852.00,309.00,3543.00,1738.00,85.00,1653.00,1015.00,51.00,964.00,1759.00,222.00,1537.00,1313.00,222.00,1091.00,3000.00,289.00,2711.00,3915.00,149.00,3766.00,3844.00,115.00,3729.00,8170.00,283.00,7887.00,13228.00,629.00,12599.00,7007.00,332.00,6675.00,2512.00,88.00,2424.00,3624.00,116.00,3508.00,3522.00,270.00,3252.00,1544.00,68.00,1476.00,837.00,22.00,815.00
Massachusetts - Berkshire,1606.00,355.00,1251.00,1437.00,361.00,1076.00,1905.00,344.00,1561.00,3125.00,470.00,2655.00,2890.00,166.00,2724.00,5795.00,478.00,5317.00,7767.00,668.00,7099.00,3966.00,192.00,3774.00,1280.00,93.00,1187.00,1794.00,139.00,1655.00,1731.00,78.00,1653.00,730.00,35.00,695.00,478.00,13.00,465.00,2166.00,269.00,1897.00,1631.00,76.00,1555.00,1671.00,200.00,1471.00,2841.00,277.00,2564.00,2905.00,272.00,2633.00,5746.00,402.00,5344.00,7982.00,435.00,7547.00,4134.00,145.00,3989.00,1316.00,45.00,1271.00,1601.00,26.00,1575.00,1575.00,48.00,1527.00,476.00,25.00,451.00,436.00,31.00,405.00
Massachusetts - Bristol,6877.00,1713.00,5164.00,5737.00,905.00,4832.00,9388.00,1087.00,8301.00,14793.00,1545.00,13248.00,14875.00,1430.00,13445.00,30370.00,2575.00,27795.00,35933.00,2512.00,33421.00,14318.00,785.00,13533.00,5224.00,368.00,4856.00,5405.00,312.00,5093.00,4646.00,243.00,4403.00,2100.00,92.00,2008.00,1328.00,92.00,1236.00,7634.00,1577.00,6057.00,6064.00,568.00,5496.00,9727.00,926.00,8801.00,14441.00,1286.00,13155.00,13835.00,1039.00,12796.00,29223.00,1972.00,27251.00,34027.00,1815.00,32212.00,14883.00,597.00,14286.00,4725.00,182.00,4543.00,5146.00,276.00,4870.00,3922.00,100.00,3822.00,1789.00,61.00,1728.00,945.00,24.00,921.00
Massachusetts - Dukes,159.00,19.00,140.00,32.00,0.00,32.00,148.00,0.00,148.00,479.00,0.00,479.00,386.00,0.00,386.00,962.00,6.00,956.00,826.00,70.00,756.00,526.00,0.00,526.00,117.00,0.00,117.00,201.00,0.00,201.00,415.00,4.00,411.00,105.00,8.00,97.00,25.00,0.00,25.00,81.00,0.00,81.00,34.00,5.00,29.00,256.00,5.00,251.00,422.00,10.00,412.00,380.00,20.00,360.00,932.00,139.00,793.00,1036.00,6.00,1030.00,504.00,7.00,497.00,285.00,43.00,242.00,282.00,31.00,251.00,280.00,14.00,266.00,107.00,3.00,104.00,85.00,0.00,85.00
Massachusetts - Essex,9291.00,2017.00,7274.00,7772.00,1050.00,6722.00,13115.00,1715.00,11400.00,20667.00,2019.00,18648.00,19716.00,1373.00,18343.00,41480.00,2433.00,39047.00,49613.00,2820.00,46793.00,22422.00,1109.00,21313.00,6575.00,503.00,6072.00,8816.00,439.00,8377.00,8800.00,623.00,8177.00,3190.00,155.00,3035.00,1967.00,127.00,1840.00,10549.00,1646.00,8903.00,7841.00,748.00,7093.00,12208.00,785.00,11423.00,19322.00,1299.00,18023.00,18732.00,1135.00,17597.00,38711.00,2111.00,36600.00,49268.00,2803.00,46465.00,21965.00,1071.00,20894.00,6451.00,330.00,6121.00,9324.00,449.00,8875.00,7534.00,366.00,7168.00,2580.00,139.00,2441.00,1526.00,108.00,1418.00
Massachusetts - Franklin,606.00,134.00,472.00,551.00,126.00,425.00,1155.00,64.00,1091.00,1836.00,201.00,1635.00,1849.00,155.00,1694.00,3599.00,222.00,3377.00,4267.00,170.00,4097.00,2552.00,202.00,2350.00,864.00,34.00,830.00,1102.00,40.00,1062.00,1012.00,33.00,979.00,344.00,18.00,326.00,284.00,6.00,278.00,659.00,82.00,577.00,611.00,35.00,576.00,937.00,122.00,815.00,1653.00,199.00,1454.00,1679.00,82.00,1597.00,3567.00,106.00,3461.00,4379.00,194.00,4185.00,2423.00,76.00,2347.00,938.00,27.00,911.00,1105.00,59.00,1046.00,1127.00,26.00,1101.00,301.00,12.00,289.00,216.00,0.00,216.00
